yj21b,yj6.2,yj10.2,yj13.2,yj1.1.1,yj72.18a
42.0,40.0,1209.4905595070954,25000.0,3.0,2.0
33.0,60.0,2087.977101424185,18000.0,4.0,2.0
28.0,48.0,3590.097017176268,30000.0,4.0,1.0
28.0,40.0,1645.2141696506574,38000.0,1.0,3.0
28.0,40.0,2365.6831347251723,40000.0,1.0,3.0
17.0,40.0,1039.5056668847096,41441.826952917145,3.0,2.0
28.0,40.0,7486.302066408592,15000.0,2.0,1.0
14.0,40.0,2372.1522700134306,30000.0,2.0,3.0
26.0,42.0,8706.3736876832,31935.601880492668,2.0,1.0
14.0,40.0,7802.067550335986,20000.0,1.0,3.0
33.0,40.0,2755.1662393986694,23409.037185345536,1.0,1.0
28.0,40.0,3120.292769258532,38000.0,1.0,3.0
27.0,40.0,8782.933109210691,19911.00358907717,2.0,2.0
14.0,48.0,3867.8044818513563,14000.0,3.0,3.0
19.0,40.0,3774.3879102994556,25000.0,2.0,3.0
25.0,60.0,3426.637813570391,18000.0,1.0,2.0
28.0,40.0,10046.45102034382,17000.0,2.0,2.0
28.0,40.0,1453.3003375573016,12130.0,3.0,1.0
14.0,44.0,11719.792990121174,18000.0,3.0,2.0
28.0,40.0,3014.4368079251526,38000.0,2.0,3.0
28.0,36.0,3308.083084144486,19300.0,2.0,3.0
42.0,36.0,3000.0,20000.0,1.0,3.0
28.0,40.0,2001.2103381288068,11000.0,3.0,2.0
28.0,36.0,4113.949474657077,30000.0,2.0,3.0
42.0,40.0,2300.373067978461,16000.0,2.0,2.0
28.0,30.0,1672.7927872938283,22000.0,3.0,3.0
27.0,48.0,4606.240523862731,15000.0,3.0,2.0
28.0,48.0,4903.908350087399,12000.0,3.0,1.0
28.0,48.0,3681.5407062325567,12000.0,2.0,2.0
14.0,54.0,2278.5008707443603,20000.0,2.0,2.0
25.0,36.0,2574.7402018467556,7500.0,4.0,1.0
38.0,36.0,7000.0,33000.0,2.0,1.0
14.0,44.0,2093.7893858172333,20000.0,4.0,1.0
28.0,40.0,18000.0,50000.0,2.0,3.0
43.0,36.0,5000.0,44000.0,2.0,1.0
42.0,38.0,5000.0,30000.0,2.0,1.0
29.0,28.0,5000.0,35000.0,2.0,2.0
24.0,40.0,6371.087010992845,30000.0,3.0,2.0
28.0,30.0,4499.313913952204,37000.0,2.0,3.0
15.0,48.0,2236.348290020458,15000.0,2.0,2.0
40.0,40.0,5000.0,25000.0,2.0,2.0
39.0,48.0,11493.136263921866,17000.0,1.0,2.0
35.0,40.0,2044.143599891242,15000.0,1.0,1.0
29.0,40.0,2804.9779613329015,20000.0,4.0,2.0
35.0,40.0,533.7078058412603,50000.0,2.0,3.0
38.0,60.0,3345.233224652878,14000.0,3.0,2.0
40.0,48.0,11918.58196661943,12000.0,2.0,2.0
27.0,48.0,4589.380840904225,10000.0,3.0,2.0
28.0,40.0,1401.4684600359656,10000.0,5.0,2.0
28.0,48.0,7253.636843785446,10000.0,2.0,1.0
